"","CVE_LOC","ENT","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","POB_TOT","ANALF","SBASC","OVSDE","OVSEE","OVSAE","OVPT","OVSREF","OVHAC","IM_2020","GM_2020","IMN_2020","IMNSon_2020","GMSon_2020"
"987","260301322","26","Sonora","030","Hermosillo","1322","Tetabiate (Las Vírgenes Seis)",17,9.09090909090909,72.7272727272727,0,0,82.3529411764706,0,52.9411764705882,70.5882352941177,17.543981315312,"Alto",0.670092402670157,0.640527693450832,"Alto"
"988","260301330","26","Sonora","030","Hermosillo","1330","Santa Amelia",35,29.4117647058824,73.5294117647059,0,0,0,0,10,30,21.2225421053522,"Bajo",0.810595039663668,0.793621491244769,"Medio"
"989","260301336","26","Sonora","030","Hermosillo","1336","Viva México",9,0,50,0,0,88.8888888888889,0,33.3333333333333,66.6666666666667,19.2434192690411,"Medio",0.735002438832205,0.711254650350925,"Alto"
"990","260301344","26","Sonora","030","Hermosillo","1344","Crucero (Cuatro y Veintiséis)",44,6.06060606060606,33.3333333333333,4.54545454545455,4.54545454545455,6.81818181818182,13.6363636363636,15.9090909090909,45.4545454545455,22.1425281890808,"Bajo",0.845733910036881,0.831909335734636,"Bajo"
"991","260301349","26","Sonora","030","Hermosillo","1349","Santa Lucía",17,15.3846153846154,61.5384615384615,0,0,0,0,0,23.5294117647059,22.8100991754954,"Bajo",0.871231785245458,0.859692206112629,"Bajo"
"992","260301355","26","Sonora","030","Hermosillo","1355","Alejandría Uno",47,3.44827586206897,51.7241379310345,0,0,0,0,2.12765957446809,48.936170212766,22.8907366890624,"Bajo",0.874311735243143,0.86304816620171,"Bajo"
"993","260301406","26","Sonora","030","Hermosillo","1406","El Alamito Buenavista (El Tronconal)",860,3.70967741935484,34.3548387096774,0.581395348837209,0,0.813953488372093,2.09302325581395,1.62790697674419,46.8604651162791,23.3822530894625,"Muy bajo",0.893085205174306,0.883504022910396,"Bajo"
"994","260301409","26","Sonora","030","Hermosillo","1409","Antonio Narro (El Perico)",27,0,42.1052631578947,0,0,0,0,11.1111111111111,0,24.5645789172722,"Muy bajo",0.938244142615973,0.932709883990449,"Muy bajo"
"995","260301414","26","Sonora","030","Hermosillo","1414","El Bienestar",9,12.5,37.5,0,0,22.2222222222222,22.2222222222222,0,0,23.1823392825748,"Muy bajo",0.885449496906229,0.875184039722747,"Bajo"
"996","260301416","26","Sonora","030","Hermosillo","1416","La Breita (Santa Amelia)",23,11.1111111111111,66.6666666666667,8.69565217391304,4.34782608695652,0,4.34782608695652,8.69565217391304,0,22.7703102428189,"Bajo",0.869712046879481,0.858036276209253,"Bajo"
"997","260301417","26","Sonora","030","Hermosillo","1417","TEQSA (Las Polleras)",14,0,40,0,0,0,0,0,0,24.9675413470081,"Muy bajo",0.953635293454231,0.94948031467181,"Muy bajo"
"998","260301450","26","Sonora","030","Hermosillo","1450","La Paloma",17,11.7647058823529,52.9411764705882,5.88235294117647,0,0,0,29.4117647058824,41.1764705882353,21.6259963388197,"Bajo",0.826004974946472,0.810412389740946,"Medio"
"999","260301452","26","Sonora","030","Hermosillo","1452","Los Pinos (Colonia Adolfo López Mateos)",57,4.34782608695652,60.8695652173913,5.26315789473684,35.0877192982456,45.6140350877193,35.0877192982456,49.1228070175439,31.5789473684211,18.2105575006184,"Alto",0.695552281448345,0.668269162343735,"Alto"
"1000","260301460","26","Sonora","030","Hermosillo","1460","Nuevo Guadalupe de Jesús (San Blas)",11,27.2727272727273,54.5454545454545,18.1818181818182,0,0,0,18.1818181818182,0,21.9444338118621,"Bajo",0.838167694888781,0.82366507330131,"Medio"
"1001","260301462","26","Sonora","030","Hermosillo","1462","Sahuaripa Uno",38,15,50,0,0,0,0,39.4736842105263,86.8421052631579,20.0628365092489,"Medio",0.766300082018869,0.745357035615535,"Medio"
"1002","260301474","26","Sonora","030","Hermosillo","1474","Santa Emilia",12,10,80,0,0,41.6666666666667,0,0,58.3333333333333,20.3559185024831,"Medio",0.777494349357396,0.757554478574946,"Medio"
